Name,Address,City,State,Years_of_Operation,Pylon,Currently,Web,Notes
Parrott Implement (Company),,Balaton,MN,&lt;--1948-1962--&gt;,,,,
Ed Ahonen,,Balkan,MN,&lt;--1922-1923--&gt;,,,,
McDunn's,,Barnesville,MN,&lt;--1948--&gt;,,,,
C & H Equipment Company,,Barnesville,MN,&lt;--1958--&gt;,,,,
Borth Implement,,Barnesville,MN,&lt;--1962--&gt;,,,,
Barrett Implement Company,,Barrett,MN,&lt;--1919--&gt;,,,,
T. A. Ransted,,Battle Lake,MN,1902-1912--&gt;,,,,
A. T. Herfindahl,,Battle Lake,MN,&lt;--1948-1958--&gt;,,,,
Newell O. Lee / N. O. Lee,,Baudette,MN,&lt;--1938-1962--&gt;,,,,
Knutson & Gongoll,,Becker,MN,&lt;--1948--&gt;,,,,
Lindquist & Linderholm,,Belgrade,MN,&lt;--1948-1964--&gt;,,,,
Belle Plaine Implement Company,,Belle Plaine,MN,&lt;--1948--&gt;,J,,,
B & B Equipment (Company),,Belle Plaine,MN,&lt;--1958-1967--&gt;,,,,
Witte's Garage & Implement,,Bellingham,MN,&lt;--1948--&gt;,,,,
Grinols Implement & Fuel Company,,Bemidji,MN,&lt;--1948--&gt;,,,,
Newland & Paul Implement & Truck Company,,Bemidji,MN,&lt;--1958--&gt;,,,,
Paul Implement & Truck Company,,Bemidji,MN,&lt;--1962--&gt;,,,,
Thorson International,Highway 71 North,Bemidji,MN,&lt;--1964-1984--&gt;,,,,
F. J. McCauley,,Benson,MN,&lt;--1915--&gt;,,,,
Benson Machine Company,,Benson,MN,&lt;--1926--&gt;,,,,
Quinn Brothers Implement Company,,Benson,MN,&lt;--1945-1948--&gt;,J,,,
Quinn Brothers,,Benson,MN,&lt;--1958-1969--&gt;,,,,
"Quinn's, Inc.",Highway 12 East,Benson,MN,&lt;--1973-1984--&gt;,,,,
"Bertas, Inc.",Highway 12 East,Benson,MN,&lt;--1978-1984--&gt;,,,,
Strohkirch Company,,Beroun,MN,&lt;--1946,,,,
Guy Williams,,Bertha,MN,&lt;--1948-1958--&gt;,J,,,
Wegener Implement,,Bertha,MN,&lt;--1962-1963--&gt;,,,,
J. H. Miller,,Big Lake,MN,&lt;--1909--&gt;,,,,
Emil Olson,,Bigelow,MN,&lt;--1923--&gt;,,,,
Bigfork Motors,,Bigfork,MN,&lt;--1946,,,,
C. A. Liem Company,,Bingham Lake,MN,&lt;--1948--&gt;,,,,
Magnuson Motor Company,,Blackduck,MN,&lt;--1948--&gt;,,,,
Srsen Auto Company,245 Main Street E,Blooming Prairie,MN,&lt;--1938-1980--&gt;,,,,
Sid Johnson,,Blue Earth,MN,&lt;--1946,,,,
Eide Implement Company,,Blue Earth,MN,&lt;--1948--&gt;,,,,
Holland Implement Company,,Blue Earth,MN,&lt;--1955-1969--&gt;,,,,
"C & F Equipment, Inc.",Highway 16 West,Blue Earth,MN,&lt;--1978-1984--&gt;,,,,
"Cazett Implement, Inc.",,Blue Earth,MN,,,,,
G. A. Wendorf,,Bongards,MN,&lt;--1944-1964--&gt;,J,,,
Nels Wangenstein,,Bovey,MN,&lt;--1945,,,,
S. F. Surma,,Bowlus,MN,&lt;--1948--&gt;,,,,
E. D. Quist,,Boyd,MN,&lt;--1946,,,,
Weisz Bros.,,Boyd,MN,&lt;--1948,,,,
Knutson Implement & Hardware,,Boyd,MN,&lt;--1948--&gt;,,,,
Merril Knutson,,Boyd,MN,,,,,
Braham Implement & Motor Company,,Braham,MN,&lt;--1948--&gt;,,,,
Braham Implement Company,,Braham,MN,&lt;--1958-1962--&gt;,,,,
G. E. Senn,,Brainerd,MN,&lt;--1945,,,,
Harold J. Skarolid,,Brainerd,MN,&lt;--1948-1967--&gt;,J,,,
Anderson International,13th Street SE,Brainerd,MN,&lt;--1973--&gt;,,,,
Johnson Truck Sales (Inc.),13th Street SE; Highways 210 & 371 West,Brainerd,MN,&lt;--1974-1979--&gt;,,,,
"Northland Truck, Inc.",Highway 210 East,Brainerd,MN,&lt;--1984-1985--&gt;,,,,
Nels Kronberg,,Brandon,MN,&lt;--1925-1926,,,, From Roger Roers &lt;dcr@gctel.net&gt;
John Korkowski / Korkowski Implement Company,203 2nd Street East,Brandon,MN,1926-1981,,,, From Roger &lt;dcr@gctel.net&gt;
Farmers Supply & Grain Company,,Breckenridge,MN,&lt;--1925--&gt;,,,,
Brewster Implement Company,,Brewster,MN,&lt;--1947-1948--&gt;,,,,
Herum Implement Company,,Bricelyn,MN,&lt;--1948--&gt;,,,,
"Crystal Motors, Inc.",7008 63rd Avenue North; Highway 52 & 63rd Avenue North,Brooklyn Park,MN,&lt;--1967-1980--&gt;,,,,
Dokken Motor Company,,Brooten,MN,&lt;--1948-1958--&gt;,,,,
G. A. Monnie & Sons,,Browerville,MN,&lt;--1948--&gt;,,,,
Schiefelbein Implement Company,,Browns Valley,MN,&lt;--1948-1964--&gt;,,,,
F. W. Albrecht & Sons,,Brownton,MN,,,,,
Bruno Farmers Exchange,,Bruno,MN,&lt;--1948--&gt;,,,,
F. J. Mischke,,Buckman,MN,&lt;--1948--&gt;,,,,
Peterson Feed & Implement Company,,Buffalo,MN,&lt;--1930-1948--&gt;,,,,
Peterson Auto Sales,,Buffalo,MN,&lt;--1958-1967--&gt;,,,,
"Buffalo Chrysler-Plymouth, Inc.",,Buffalo,MN,&lt;--1969--&gt;,,,,
Leinbach Equipment,,Buffalo,MN,,,,,
Buhl Motor Service (Inc.),402 Pennsylvania Avenue,Buhl,MN,&lt;--1958-1980--&gt;,,,,
D. A. Nickel,,Butterfield,MN,&lt;--1929--&gt;,,,,
Frank Brothers,,Caledonia,MN,&lt;--1921--&gt;,,,,
Nielsen Motor Truck Sales,,Caledonia,MN,&lt;--1958--&gt;,,,,
Gouldberg & Anderson,,Cambridge,MN,1902-1913--&gt;,,,,
Ellingson Hardware & Implement Company,,Cambridge,MN,&lt;--1948--&gt;,,,,
Fredlund Brothers,,Cambridge,MN,&lt;--1958--&gt;,,,,
Greenberg Motor & Equipment Company,Highway 95 East,Cambridge,MN,&lt;--1978-1980--&gt;,,,,
Thomas Tilghman,,Canby,MN,&lt;--1918--&gt;,,,,
Nevenheim & Anderson,,Canby,MN,&lt;--1921-1925--&gt;,,,,
Larson & Gross,,Canby,MN,&lt;--1948-1958--&gt;,,,,
Swenson Implement,,Canby,MN,&lt;--1967--&gt;,,,,
Leo Hentges Implement,,Canby,MN,,,,,
Flom Implement Company,,Cannon Falls,MN,&lt;--1948--&gt;,,,,
Bethke Implement Company,,Cannon Falls,MN,&lt;--1958--&gt;,,,,
Dabelow Pontiac-Buick,,Cannon Falls,MN,&lt;--1967-1969--&gt;,,,,
Frank Ehlert & Son,,Carlos,MN,&lt;--1948--&gt;,,,,
J. E. McFarland,,Carlton,MN,&lt;--1948--&gt;,,,,
Hebelsen Brothers,3rd Street,Carver,MN,&lt;--1948--&gt;,,,,
J. R. De Long,,Cedar,MN,&lt;--1944,,,,
Jorstad Implement Company,,Ceylon,MN,&lt;--1945,,,,
Schmidt Implement Company,,Ceylon,MN,&lt;--1948--&gt;,J P,,,
"Swanson & Clark, Inc.",,Ceylon,MN,&lt;--1955--&gt;,,,,
Ceylon Implement Company,,Ceylon,MN,&lt;--1956-1964--&gt;,,,,
Schuur Implement Company,,Chandler,MN,&lt;--1948-1969--&gt;,,,,
Hervey Implement Company,,Chatfield,MN,&lt;--1948--&gt;,,,,From Rich Tucker
Machinery Hill,,Chatfield,MN,&lt;--1958--&gt;,,,,
Bernard('s) Sales & Service,,Chatfield,MN,&lt;--1962-1969--&gt;,,,,
J. H. Gustafson Company,,Chisago City,MN,&lt;--1945,,,,
Farm Service Company,,Chisholm,MN,&lt;--1945,,,,
Maturi Motors,,Chisholm,MN,&lt;--1952--&gt;,,,,
Pederson Hardware Company,,Chokio,MN,&lt;--1922--&gt;,,,,
Sletten Implement Company,,Chokio,MN,&lt;--1945,,,,
Albert N. Olson,,Chokio,MN,&lt;--1948--&gt;,,,,
Stimmler Implement,,Chokio,MN,&lt;--1958--&gt;,,,,
Clara City Farmers Elevator,,Clara City,MN,&lt;--1947,,,,
Tammen Motor Sales,,Clara City,MN,&lt;--1948--&gt;,,,,
Fritz Truck Service / Fritz Trucking Service,,Clara City,MN,&lt;--1958-1976--&gt;,,,,
"Rand Hardware Company, Inc.",,Claremont,MN,&lt;--1948--&gt;,,,,
Demi's Garage,Front Street,Claremont,MN,&lt;--1958-1980--&gt;,,,,
Branum Machine Shop,,Clarissa,MN,&lt;--1958--&gt;,,,,
Peter Anderson,,Clarkfield,MN,&lt;--1909--&gt;,,,,
Clarkfield-Playford Silo Company,,Clarkfield,MN,&lt;--1919--&gt;,,,,
Johnson Brothers,,Clarkfield,MN,&lt;--1944,,,,
Sharkey Implement,,Clarkfield,MN,&lt;--1948-1958--&gt;,,,,
Clarks Grove Hardware Company,,Clarks Grove,MN,&lt;--1934--&gt;,,,,
Clarks Grove Hardware & Implement Company,,Clarks Grove,MN,&lt;--1948-1958--&gt;,,,,
Dingmann Hardware,,Clear Lake,MN,&lt;--1948--&gt;,,,,
"Opheim, Espeseth & Nelson",,Clearbrook,MN,&lt;--1922--&gt;,,,,
Lundmark Motor Company,,Clearbrook,MN,&lt;--1958--&gt;,,,,
V. C. Hopfenspirger,,Clements,MN,&lt;--1947,,,,
Hopfenspirger Implement Company,,Clements,MN,&lt;--1948-1958--&gt;,,,,
Lloyd Brothers & Davis,,Cleveland,MN,&lt;--1913--&gt;,,,,
Cooke Hardware & Implement (Company),,Cleveland,MN,&lt;--1948-1958--&gt;,,,,
C. M. Davidson,,Climax,MN,&lt;--1934-1948--&gt;,,,,
Climax Implement (Company),,Climax,MN,&lt;--1962-1969--&gt;,,,,
Gustafson Hardware & Implement (Company),,Clinton,MN,&lt;--1926-1945,,,,
Clinton Implements,,Clinton,MN,&lt;--1948-1958--&gt;,,,,
Mikkelson & Son,,Clontarf,MN,&lt;--1948--&gt;,,,,
Hongisto Truck & Implement Company / Inc.,616 Sunnyside Drive; 268 Highway 33 North,Cloquet,MN,1941-1985--&gt;,J  P,,http://hongistotruck.com/History2.htm,"46.734640, -92.467190"
Cokato Hardware & Implement Company,,Cokato,MN,&lt;--1930-1947,,,,
Winchester Store,,Cokato,MN,,,,,
Wenner Company,,Cold Spring,MN,&lt;--1948-1958--&gt;,,,,
Coleraine Service Garage,,Coleraine,MN,&lt;--1958--&gt;,,,,
Coleraine Auto Service,,Coleraine,MN,&lt;--1962--&gt;,,,,
Cliff Maki Body Shop,211 Roosevelt Street,Coleraine,MN,&lt;--1964-1980--&gt;,,,,
Columbia Heights Motors,4849 Central Avenue,Columbia Heights,MN,&lt;--1974-1976--&gt;,,,,
Martin Windschitl,,Comfrey,MN,&lt;--1922--&gt;,,,,
A. O. Quarnstrom & Son,Corner of Broad & Ochre Streets,Comfrey,MN,&lt;--1948-1958--&gt;,,,,
Quarnstrom Implement Company,,Comfrey,MN,,,,,
Enzmann Bros.,,Cook,MN,&lt;--1948--&gt;,,,,
Chase Lumber Yard,,Cook,MN,&lt;--1958-1962--&gt;,,,,
W. J. De Wall,,Correll,MN,&lt;--1919--&gt;,,,,
E. A. Hackbarth,,Cosmos,MN,&lt;--1946,,,,
Cosmos Implement Company,,Cosmos,MN,&lt;--1948-1952--&gt;,P,,,
Hackbarth Implements,,Cosmos,MN,&lt;--1978-1980--&gt;,,,,
Bahls Implement & Motor Company,,Cottage Grove,MN,&lt;--1947,,,,
Smith's Farm Store,956 West 1st Street,Cottonwood,MN,&lt;--1958-1973--&gt;,,,,
G. W. Schlottman,,Courtland,MN,&lt;--1911--&gt;,,,,
N. P. Stone Company,,Crookston,MN,&lt;--1930-1957,,,,
K. E. Bengson / K. E. Bengson's Implement Company,,Crookston,MN,1957-1960--&gt;,,,,
McCormick Farm Equipment Store,,Crookston,MN,&lt;--1962--&gt;,,,,
International Harvester Sales & Service,302 North Main Street; Highway 75 South,Crookston,MN,&lt;--1964-1976--&gt;,,,,
"Larson International, Inc.",Highway 75 South,Crookston,MN,&lt;--1977-1980--&gt;,,,,
"Red Power International, Inc.",Highway 75 South,Crookston,MN,&lt;--1984-1990--&gt;,,,,
Rosholt Equipment Company,212 North Main Street,Crookston,MN,,,,,
Crosby Hardware (Company),,Crosby,MN,&lt;--1958-1967--&gt;,,,,
Crosby Equipment & Hardware Company,,Crosby,MN,&lt;--1969--&gt;,,,,
Louie Sykora,,Currie,MN,&lt;--1946,,,,
Haycraft Brothers,,Currie,MN,&lt;--1948-1958--&gt;,,,,
Daggett Implement Company,,Daggett,MN,&lt;--1948--&gt;,,,,
Dahlen Auto & Machine Company,,Dahlen,MN,&lt;--1948--&gt;,,,,
Chris Trocinski,,Dakota,MN,&lt;--1947,,,,
Minge Implement Company,,Dalton,MN,&lt;--1948--&gt;,,,,
Brown's Implement,,Dalton,MN,&lt;--1953--&gt;,,,,
Danube Hardware Company,,Danube,MN,&lt;--1945,,,,
Danube Implement Company,,Danube,MN,&lt;--1948--&gt;,,,,
Darfur Implement Company (Inc.),,Darfur,MN,&lt;--1931-1984--&gt;,J,,,
Farmer's Corporation,,Dassel,MN,&lt;--1948--&gt;,J,,,
Farmer's Corporation,,Dassel,MN,&lt;--1963--&gt;,,,,
Nelson Motor Company,,Dassel,MN,&lt;--1958-1969--&gt;,,,,
Magnuson & Phillips,,Dassel,MN,,,,,
H. O. Christianson,,Dawson,MN,&lt;--1925-1947,,,,
D. E. Pederson,,Dawson,MN,&lt;--1948-1964--&gt;,,,,
"Anderson-Pederson, Inc.",Highway 212 West,Dawson,MN,&lt;--1967-1980--&gt;,,,,
"Breberg Implement Company, Inc.",,Dawson,MN,&lt;--1972--&gt;,,,,
"Riverside International, Inc.",860 6th Street; Highway 212 West,Dawson,MN,&lt;--1978-1984--&gt;,,,,
"Ricker Trucks, Inc.",Highway 212 West,Dawson,MN,&lt;--1984-1985--&gt;,,,,
"Midwest Truck & Parts, Inc.",Highway 212,Dawson,MN,&lt;--1990--&gt;,,,,
P. W. Bresnahan,,De Graff,MN,&lt;--1918--&gt;,,,,
B. R. Schendel,,Deer Creek,MN,&lt;--1944,,,,
Thelen Implement (Company),,Deer Creek,MN,&lt;--1948--&gt;,,,,
Farmers Co-op Exchange,,Deer River,MN,&lt;--1946,,,,
Ziebarth & Tomnitz,,Delano,MN,&lt;--1915--&gt;,,,,
Henze Garage,,Delano,MN,&lt;--1945,,,,
Steller's,,Delano,MN,&lt;--1948--&gt;,J,,,
Len's Service,,Delano,MN,&lt;--1958--&gt;,,,,
Dixon-VanLith Implement,,Delano,MN,,,,,
Geo. O. Jensen,,Delavan,MN,&lt;--1948--&gt;,,,,
Delft Implement Company,,Delft,MN,&lt;--1948-1958--&gt;,,,,
Carson Farmer's Elevator Company,,Delft,MN,,,,,
Johnson Implement Company,318 East Frazee Street,Detroit Lakes,MN,&lt;--1948-1951--&gt;,,,,
Barber's Direct Service,,Detroit Lakes,MN,&lt;--1958--&gt;,,,,
Freborg & Wells,,Detroit Lakes,MN,&lt;--1962-1964--&gt;,,,,
Baker Auto Sales,,Detroit Lakes,MN,&lt;--1967--&gt;,,,,
Burgett Auto Sales,,Detroit Lakes,MN,&lt;--1969--&gt;,,,,
Mitchell Chevrolet Company,,Detroit Lakes,MN,,,,,
Nortz Lumber Company,,Doran,MN,&lt;--1944,,,,
Dugdale Mercantile Company,,Dugdale,MN,&lt;--1921--&gt;,,,,
E. J. Filiatrault,,Duluth,MN,&lt;--1919--&gt;,,,,
Herbert Spindler / Herb Spindler Company,2901 West Superior Street,Duluth,MN,&lt;--1948--&gt;,,,,
International Harvester Company,114 East 1st Street,Duluth,MN,&lt;--1954,,,,
International Harvester Company ~ Truck Branch,3204 Carlton Street,Duluth,MN,1954-1980--&gt;,,,,
"Foss International Trucks, Inc.",3204 Carlton Street,Duluth,MN,&lt;--1984-1985--&gt;,,,,
Rosholt Equipment Company,,Duluth,MN,&lt;--1954--&gt;,,,,
"Hall Equipment, Inc.",210 Garfield Avenue,Duluth,MN,&lt;--1968--&gt;,,,,
Phillippi Equipment Company,,Duluth,MN,,,,,
Anderson De Long Company,,Duquette,MN,&lt;--1947,,,,
E. R. Nelson,,Eagle Bend,MN,&lt;--1948-1958--&gt;,,,,
Adolph Lund (Company),316-318 Demers Avenue,East Grand Forks,MN,&lt;--1934-1949--&gt;,,,,
Hoffert Motor Service,Highway 220 North,East Grand Forks,MN,&lt;--1967-1973--&gt;,,,,
Hoffert Motor Service,1717 Central Avenue NW,East Grand Forks,MN,&lt;--1990,,,,
Farmers Co-op Trading Company,,East Lake,MN,&lt;--1948--&gt;,,,,
Geo. F. Pehling,,Echo,MN,&lt;--1919--&gt;,,,,
Rick Brothers,,Echo,MN,&lt;--1945,,,,
Rust Implement Company,,Echo,MN,&lt;--1948-1958--&gt;,,,,
Echo Motors,,Echo,MN,&lt;--1962-1969--&gt;,,,,
J. L. Rushland & Company,,Eden Valley,MN,&lt;--1913--&gt;,,,,
Jos. S. Fink,,Eden Valley,MN,&lt;--1948--&gt;,,,,
Roelofs Implement Company / Inc.,812 Main Street,Edgerton,MN,&lt;--1948-1980--&gt;,,,,
Anderson & Carlson,,Effie,MN,&lt;--1948--&gt;,,,,
Brookside Service,,Edina,MN,&lt;--1958-1962--&gt;,,,,
Halvorson Bros.,,Elbow Lake,MN,&lt;--1945,,,,
Huseth & Waye,,Elbow Lake,MN,&lt;--1948--&gt;,,,,
Walwick & Ellingson,,Elbow Lake,MN,&lt;--1953-1963,,,,
Aamot & Ellingson,,Elbow Lake,MN,1963--&gt;,,,,
E. H. Beck,,Elgin,MN,&lt;--1948--&gt;,,,,
E. H. Beck & Son,,Elgin,MN,&lt;--1958-1974--&gt;,,,,
"Beck Implement, Inc.",50 Center Street South,Elgin,MN,&lt;--1978-1984--&gt;,,,,
Elk River Implements,,Elk River,MN,&lt;--1940--&gt;,,,,
Elk River Implement Company,,Elk River,MN,&lt;--1948-1962--&gt;,,,,
Herlyn Sales,,Elk River,MN,&lt;--1964--&gt;,,,,
Custom Motor & Truck Sales,,Elk River,MN,&lt;--1967-1977--&gt;,,,,
Olson Implement Company,,Ellendale,MN,&lt;--1948-1958--&gt;,,,,
Wm. Bofenkamp Hardware & Implement Company,,Ellsworth,MN,&lt;--1948--&gt;,,,,
Domeyer & Gisolf Implement,,Ellsworth,MN,&lt;--1962-1969--&gt;,,,,
"Domeyer & Gisolf, Inc.",Highway 91; Main Street,Ellsworth,MN,&lt;--1978-1980--&gt;,,,,
S. B. Jensvold Company,,Elmore,MN,&lt;--1958--&gt;,,,,
E. J. Butler Company,,Elmore,MN,&lt;--1962-1969--&gt;,,,,
Baxtrum Garage,,Ely,MN,&lt;--1948--&gt;,,,,
Diesel Power Equipment,,Ely,MN,&lt;--1958--&gt;,,,,
Mike Motors,,Ely,MN,&lt;--1962-1969--&gt;,,,,
Axel Lamppa,,Embarrass,MN,&lt;--1948--&gt;,,,,
M. A. Halling,,Eureka Center,MN,&lt;--1945,,,,
Elysian Auto Company,,Elysian,MN,&lt;--1958--&gt;,,,,
Evan Implement Company,,Evan,MN,&lt;--1948-1958--&gt;,,,,
Ostlund Hardware & Implement,,Evansville,MN,&lt;--1948--&gt;,,,,
Flom Motor Service (Inc.),501 Fayal Road,Eveleth,MN,&lt;--1948-1974--&gt;,,,,
"Tom Williams Motor & Equipment, Inc.",410 Fayal Road; 501 Fayal Road,Eveleth,MN,&lt;--1976-1980--&gt;,,,,
Mason Motor Company,,Excelsior,MN,&lt;--1958-1973--&gt;,,,,
E. H. Beck,,Eyota,MN,,,,,
Reuben Sell,,Fairfax,MN,&lt;--1946,,,,
George Nelson Equipment Company,Lincoln Avenue West,Fairfax,MN,&lt;--1948-1969--&gt;,J P,,,"44.528820, -94.722160"
Fairfax Cooperative Creamery Company,Highway 4,Fairfax,MN,&lt;--1978-1984--&gt;,,,,
J. H. Gorman Implement Company,,Fairmont,MN,1902-1922--&gt;,,,,
A .H. Welchlin,,Fairmont,MN,&lt;--1916--&gt;,,,,
Martin Meier,,Fairmont,MN,&lt;--1937--&gt;,,,,
Meier Implement Company,,Fairmont,MN,&lt;--1944,,,,
Schmanski Implement Company,,Fairmont,MN,&lt;--1948,M,,,
Hodgman Equipment Company (Inc.),,Fairmont,MN,&lt;--1948-1958--&gt;,,,,
International Town & Country Equipment Company,,Fairmont,MN,&lt;--1962-1969--&gt;,,,,
Martin County Implement Company,Highway 16 West,Fairmont,MN,&lt;--1966--&gt;,,,,
International Harvester Company,Highway 16 West,Fairmont,MN,&lt;--1973-1976--&gt;,,,,
"Braeger International, Inc.",2320 West Lake Avenue,Fairmont,MN,&lt;--1978-1984--&gt;,,,,
Fairmont Equipment Company,2320 West Lake Avenue,Fairmont,MN,&lt;--1985--&gt;,P-ish?,,,
Welchlin & Rahn,,Fairmont,MN,,,,,
H. C. Heine & Son,,Faribault,MN,&lt;--1921--&gt;,,,,
Farm Equipment Store,,Farmington,MN,&lt;--1948-1964--&gt;,J,,,
Fischer Oldsmobile,,Farmington,MN,&lt;--1967-1969--&gt;,,,,
Joe Graeve Motors,201 Spruce Street,Farmington,MN,&lt;--1973-1976--&gt;,,,,
Farm Service Association of Farmington,310 3rd Street,Farmington,MN,&lt;--1978--&gt;,,,,
Fischer Brothers,,Farmington,MN,,,,,
Harry Swanson,,Felton,MN,&lt;--1945,,,,
